timestamp,open,high,low,close,volume
2025-09-11 18:00:00,4433.31,4437.19,4408.67,4420.31,8149.9792
2025-09-11 19:00:00,4420.3,4430.66,4413.39,4423.73,7670.0082
2025-09-11 20:00:00,4423.73,4426.98,4415.4,4417.28,4831.106
2025-09-11 21:00:00,4417.28,4430.51,4415.69,4429.22,5614.5354
2025-09-11 22:00:00,4429.23,4462.01,4424.36,4453.72,23903.5576
2025-09-11 23:00:00,4453.72,4469.0,4451.32,4458.82,11421.6846
2025-09-12 00:00:00,4458.83,4539.0,4450.71,4512.07,47696.2458
2025-09-12 01:00:00,4512.06,4532.84,4494.15,4497.61,25723.3644
2025-09-12 02:00:00,4497.61,4524.35,4496.25,4507.51,15055.0101
2025-09-12 03:00:00,4507.52,4509.37,4488.38,4505.55,13819.0875
2025-09-12 04:00:00,4505.55,4524.64,4500.01,4521.36,13555.3737
2025-09-12 05:00:00,4521.35,4558.88,4514.64,4558.41,19050.4858
2025-09-12 06:00:00,4558.42,4563.0,4531.63,4538.99,21576.7894
2025-09-12 07:00:00,4539.0,4551.97,4524.17,4525.81,17991.185
2025-09-12 08:00:00,4525.81,4533.32,4513.67,4517.9,10909.7447
2025-09-12 09:00:00,4517.89,4528.71,4504.5,4515.12,11573.724
2025-09-12 10:00:00,4515.11,4522.94,4507.41,4516.69,8427.4449
2025-09-12 11:00:00,4516.69,4536.53,4513.59,4520.76,8211.8068
2025-09-12 12:00:00,4520.76,4530.81,4504.11,4526.63,12954.1738
2025-09-12 13:00:00,4526.63,4543.08,4506.88,4539.64,15659.256
2025-09-12 14:00:00,4539.63,4571.24,4524.64,4547.02,37358.1756
2025-09-12 15:00:00,4547.02,4551.6,4528.32,4541.98,14104.1874
2025-09-12 16:00:00,4541.99,4576.2,4533.69,4575.8,18817.3497
2025-09-12 17:00:00,4575.79,4628.0,4564.81,4613.05,34941.8661
2025-09-12 18:00:00,4613.06,4627.45,4599.54,4624.61,19677.4485
2025-09-12 19:00:00,4624.62,4660.0,4614.65,4657.18,28618.5268
2025-09-12 20:00:00,4657.19,4692.56,4630.24,4670.48,33140.9516
2025-09-12 21:00:00,4670.48,4671.89,4644.42,4649.8,17082.0472
2025-09-12 22:00:00,4649.81,4748.4,4649.8,4695.16,43279.7156
2025-09-12 23:00:00,4695.17,4715.27,4671.51,4712.16,21553.5798
2025-09-13 00:00:00,4712.16,4717.65,4697.0,4704.71,15547.5932
2025-09-13 01:00:00,4704.7,4733.58,4700.01,4700.49,18959.0696
2025-09-13 02:00:00,4700.48,4714.45,4691.85,4702.71,10921.2093
2025-09-13 03:00:00,4702.72,4769.36,4701.86,4756.81,54521.0074
2025-09-13 04:00:00,4756.8,4756.91,4734.88,4743.1,17164.0295
2025-09-13 05:00:00,4743.1,4743.11,4717.96,4723.43,12902.2765
2025-09-13 06:00:00,4723.43,4730.88,4702.33,4711.09,15373.3973
2025-09-13 07:00:00,4711.09,4723.49,4707.29,4711.7,8389.8771
2025-09-13 08:00:00,4711.7,4731.16,4711.7,4730.25,9700.5993
2025-09-13 09:00:00,4730.25,4733.45,4720.81,4732.52,10272.1799
2025-09-13 10:00:00,4732.51,4738.58,4710.23,4718.05,14503.6281
2025-09-13 11:00:00,4718.04,4724.75,4709.01,4719.53,8430.1064
2025-09-13 12:00:00,4719.53,4730.18,4714.86,4720.45,6937.7372
2025-09-13 13:00:00,4720.45,4725.51,4650.1,4685.79,32134.9988
2025-09-13 14:00:00,4685.8,4709.17,4666.24,4689.12,23493.054
