timestamp,open,high,low,close,volume
2025-09-11 18:00:00,0.882,0.8829,0.8787,0.8808,1547664.8
2025-09-11 19:00:00,0.8808,0.8832,0.8793,0.8822,1429713.6
2025-09-11 20:00:00,0.8823,0.8831,0.8798,0.882,1108442.3
2025-09-11 21:00:00,0.882,0.8848,0.8813,0.8844,1630074.5
2025-09-11 22:00:00,0.8843,0.8929,0.8833,0.8903,5538959.6
2025-09-11 23:00:00,0.8902,0.8968,0.8901,0.8939,4490212.8
2025-09-12 00:00:00,0.894,0.9097,0.8912,0.9028,13161955.2
2025-09-12 01:00:00,0.9029,0.9081,0.8973,0.8983,10300759.0
2025-09-12 02:00:00,0.8983,0.9062,0.8979,0.9025,4834899.9
2025-09-12 03:00:00,0.9025,0.9034,0.8968,0.9009,5237822.1
2025-09-12 04:00:00,0.9008,0.9043,0.8973,0.904,4296376.0
2025-09-12 05:00:00,0.904,0.9062,0.9021,0.9061,5701339.7
2025-09-12 06:00:00,0.9062,0.9062,0.8998,0.9005,3957159.8
2025-09-12 07:00:00,0.9005,0.904,0.8985,0.8996,5089814.6
2025-09-12 08:00:00,0.8995,0.9006,0.8946,0.8956,3547893.8
2025-09-12 09:00:00,0.8956,0.8966,0.8903,0.8932,5517151.4
2025-09-12 10:00:00,0.8931,0.8931,0.8878,0.8916,2849699.0
2025-09-12 11:00:00,0.8915,0.8942,0.8876,0.8881,3524927.1
2025-09-12 12:00:00,0.8881,0.8914,0.8825,0.8905,6315012.3
2025-09-12 13:00:00,0.8905,0.8905,0.8848,0.8882,3589249.9
2025-09-12 14:00:00,0.8881,0.8961,0.8864,0.8916,9864481.8
2025-09-12 15:00:00,0.8916,0.8946,0.8867,0.8934,3804401.4
2025-09-12 16:00:00,0.8935,0.8998,0.8917,0.8995,5504415.4
2025-09-12 17:00:00,0.8996,0.905,0.8966,0.9028,6958818.0
2025-09-12 18:00:00,0.9027,0.9071,0.9006,0.9044,6135212.1
2025-09-12 19:00:00,0.9044,0.9077,0.9013,0.9074,4891105.5
2025-09-12 20:00:00,0.9074,0.9089,0.9006,0.9068,8677325.2
2025-09-12 21:00:00,0.9069,0.9072,0.9024,0.9043,5168366.8
2025-09-12 22:00:00,0.9043,0.9181,0.9042,0.9152,11963685.3
2025-09-12 23:00:00,0.9152,0.9176,0.9121,0.9169,5566745.7
2025-09-13 00:00:00,0.917,0.9299,0.9162,0.9267,17587629.4
2025-09-13 01:00:00,0.9267,0.9372,0.9242,0.9246,16178036.6
2025-09-13 02:00:00,0.9246,0.9295,0.9224,0.9264,6456521.6
2025-09-13 03:00:00,0.9264,0.9306,0.925,0.9291,5172527.2
2025-09-13 04:00:00,0.9292,0.9298,0.9253,0.926,3598321.7
